媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
ZZ鋼彈看過的人多嗎  機動武鬥傳G鋼彈我只看這個鋼彈
南韓獲波蘭137億美元訂單登全球第8大軍  全球十大軍火商都不是穆斯林國家XD
你怎樣會想砍人  當你想到你的老婆在跟別人啪啪誰能不
魔獸淚崩離台雲豹高層隊友爆沒人到  隊的高層跟隊友有來送機嗎，大咖就要
明天會有多少人湧入三創看企鵝妹  有人已經在三創排隊了
大小姐出來給大家摸兩下能滅火嗎  大小姐沒摸人家兩下就差不多了，還被摸？
這樣看起來台女真的是亂源吧  就算再破的破麻，這些機會不屬於
在商場看到老婆跟鐵T交往  單挑
台灣年輕人上輩子做了什麼傷天害理  上輩子沒做善事，這輩子投胎到台灣
沒性騷擾過的才可以嘴人  人醜性騷擾帥哥沒困擾
館長幫台男發聲了我們該挺館長了吧  謝謝館長！台灣就是女權太高了！
steam要有幾個遊戲才合格  要及格最少要5萬款遊戲
民進黨被害者無須懼怕法律戰術任何司  被害者是指你們認為的網路暴力被害者
陳右豪也要告了  他看起來能用嗎，一臉的敗相
有個女的在自己的舒適圈自我感覺良好  應該反問哪個女的沒有自我感覺良好
側翼徐閉說2014柯競選團隊也有性騷擾  真棒又有柯CF可以罵了XDD就算沒證據也沒差
為什麼我朋友們都閉嘴了  你朋友們閉嘴了，可是徐閉沒有閉嘴
找一個沒人看的側翼爆料是什麼道理  沒人看得側翼爆料？只有你選擇看不到吧
貓貓透過溝通師發表MeowToo  詐騙產業是在公啥小？這樣騙得到人嗎
獨家民進黨女工讀爆被性騷電視圈很  這最多說跟騷ㄅ？不算性平ㄅ？
畢業典禮前夕苗栗高三男學生校園墜樓  ...都畢業了耶考不好???
人選之人海大版多起教授霸凌疑吃  人選之人是甚麼?
快來看火星現在模樣史上首次火星直播午夜  我可以邊看邊尻在火星上嗎
大家都躺平最後會怎麼樣00  躺平都喊假的大魚大肉跟我說躺平？
恆春鹿衝頻傳騎士撞上梅花鹿送  墾丁騎士暗夜酒駕撞上梅花鹿人鹿雙亡
是不是沒背景的才會被騷擾  對在台灣就是這樣大家才會搶破頭也要
肥宅被告性騷擾的底線在哪  肥宅的存在就是騷擾
請問這到底三小  胎位矯正?
音樂錄影帶MV中的性騷  3個MV中的共通點都是女侍者，美國人真的
性騷在台灣是很普遍還是跟企業文化有關  事實上就是噁男到處都是
性騷案頻傳總統致歉身為前民進黨主席我責無旁貸  總統萬歲QQ
欸只是堵藍ＦＢ不見了  只是摸懶
莽漢拿西瓜刀路上閒晃遇警對峙被電擊求  拿著西瓜(刀)？
胡佛總統是大蕭條的背鍋者還是始作俑者  梅隆拉響了汽笛胡佛敲響了鐘
中央性騷擾指揮中心今日性騷擾個案XX  性騷擾指揮中心笑死
最好的時光哪兒還有啊  真正的差別是有人養你，跟你需要養自己
求台北健身吃的健康又省錢方法認真  食不下嚥是形容很煩惱的樣子
有企鵝妹的真跡要怎麼處理發錢  我這裡有她口水接觸過的寶特瓶還有
阿嬤睏咖破億拉  阿嬤睏卡~阿嬤睏卡~阿嬤阿嬤阿嬤睏卡~拍照
竹北天坑效應新竹縣府今稽查豐邑另3處工  自由可憐到只能打這個了
側翼徐閉說2014柯競選團隊也有性騷擾  被肚子性騷擾好可怕vs被手摸性騷擾
強調台獨的話還能稱對岸為匪嗎  中國想來偷我們的國家啊當然是匪
哥布林的形象從何而來  魔戒的作者○○○金的描寫
今天一共爆出了幾起性騷擾啊  不管幾起反正都報成DPP的就好啦嘻
側翼徐閉說2014柯競選團隊也有性騷擾  算用「欸你看他們也有性騷擾所以我們
台灣性騷擾其實很常見的八卦  性騷擾成立要件很模糊而且很容易成立
是不是該超前部署成立性騷擾國家隊  死忠的現在不喜歡你的標題
怎麼一口氣爆這麼多性騷案  開始檢討越想越不對勁囉
七年來最有感的政策是什麼  如果是7年補助領的蠻爽的
英法不是世仇嗎怎麼聯手對中國出拳  英法好像是因為共同對德而合作
為什麼有人敢性騷擾人  人和畜生的邏輯本來就不一樣，不要用人的
肥宅如果要泡澡浴缸水要幾分滿呢  3分下去就剛好滿了
性騷擾要公開申訴才是有誠心想解決問題  公開才是喚醒重視的方法
穿搭身材長相哪一個最重要呢  穿搭>身材，穿搭也會幫長相加分
台灣黑鮪魚都直接在地上分屍  都會洗過啊！海鮮抓到船上都很噁
人選之人編劇簡莉穎控性騷擾貝嶺完全  現在在演哪齣怎麼突然到處都有人說被性
核一除役機組燃料棒仍未退出台電促新北速核定水保計畫  送的計畫了新北市在硬拗啥
摸胸部具體來說爽在哪  爽在如果是摸正妹胸部
女森被摸比疫情死人還嚴重  還有其他公司狗死了也會出來哭阿
怕牧師罵到一半突然飄下玫瑰花瓣  你兒子是我接生的啊
為何獵人劇場版很糞  5f都吃糞
側翼徐閉說2014柯競選團隊也有性騷擾  當年柯團隊幾乎等於党團隊了打這個真
你們沒性騷過沒吃過案的可以拿石頭丟他  本魯肥這輩子真的沒性騷擾過，我連坐妹子
快訊新北女坐床上亡口鼻滲血警方  坐著死的就是毒品打過頭了
徒手3個陸戰可以打贏40屁孩  不怕死那幾個幹倒其他的就跑了
怎麼消滅塔綠斑哥布林  停止補助洗腎
B站是怎麼沒落的  抖音、小紅書是廣告商最愛投的消費力
sjw算是西方的文革吧  期蘇聯對美國的滲透，請參看好機車的YT
幹是要掩蓋啥喇廢核大遊行既視感  掩蓋二樓被肛
好的台男低賤壞的台男畜生  什麼壞的低賤，壞的都去當女權英雄了
側翼徐閉說2014柯競選團隊也有性騷擾  2014的團隊…呵呵
異性戀台男是不是台灣禍源啊  是建議清洗
值得買暗黑嗎  這種要一直刷一直刷的東西根本不值得玩
幾位女同學被摸兩下老師出來說很心痛  幾位女同學被摸兩下老師出來說很心痛
為什麼被指控性騷擾犯不學翁立友堅持不道  出來道歉的不都是長官哪個是本人承認?
側翼徐閉說2014柯競選團隊也有性騷擾  看ㄅ就說冥盡擋比八卦臭酸肥宅還噁心
薩卡蘭姆教會是怎麼墮落  足球葡萄乾教？
這禮拜哪個新聞最勁爆  這禮拜還有兩天......
大賣場冰品CP值霸主是哪個  小美或杜老爺桶裝其他不是貴就是太少
轟高嘉瑜批車價太貴卻沒做法吳欣岱拋特  都講給你聽了，貨物稅太貴就是問題
景美附近中午有什麼好吃的  景美女中不在景美
摸自己的胸不好嗎  五樓不只願意給大家摸胸還願意給大家鋼
側翼徐閉說2014柯競選團隊也有性騷擾  先把被害受害名字拿出來問柯有沒有印象
樁腳用信封戳女黨員胸部議員阻報警選  女議員阻止果然女人最愛鬥女人
LIVE再爆性騷擾案民進黨連2天記者會  看ㄅ就說冥盡擋比八卦臭酸肥宅還噁心
沒性騷擾過得進來  我啊我沒性騷擾過!但是幹你娘我忍很久了
離譜父幫戒尿布繩綁三歲兒小鳥  5歲會勃起？
中視評鑑合格NCC關注評鑑期間遭裁罰27  中視評鑑合格符合台灣價值?
台男為什麼這麼愛性騷性侵台女  台男餓太久被騷擾還會當作爽到自己
2023年世界上還有女人禍國的事嗎  前有南韓後有鬼島
那棟大樓的天台適合見線人  天台
你們都怎麼學eｘｃｅｌ  錄製巨集看看VBA怎麼寫
Bing是白癡嗎  Bing淇淋
說上班不要看走下坡的都給我進來  除了妹子能看其他都幾乎沒看
婦女團體這次會含淚支持嗎  哪次不含淚支持的？抗中保台
臺灣人性騷擾比共產黨來姦淫婦女好  你怎知民進黨那些人沒有姦淫婦女？摸
台灣政壇也有潛規則喔  你要去理解為什麼台灣有需要去搶這個第一
徒手3個陸戰可以打贏40屁孩  一個日本格鬥選手也拍這種片自己參考
我就問哪個國家縣市企業沒有性騷擾  問題就是整天喊性平的黨最會壓性騷案件
魔力寶貝為何會落寞  修理會掉最大值只會用擦布
張衛健不算紅嗎  算紅過吧
metoo誰出來最震撼  菜包啊還有誰？而且居然道歉了！？從來不
金玉其外敗絮其內  你在說高雄嗎？金玉其外敗絮其邁
快訊民進黨性平爭議延燒蔡英文痛心  痛心個屁阿2024之後就不關你的是噁心
總統蔡英文道歉  時代雜誌：台灣的執政團隊是最會吹牛的防疫
人醜性騷擾怎麼辦  這什麼試用版AI寫的文
籲民進黨最高規格改善性平事件賴品妤  樓下想性騷擾賴品妤
快訊剛跟父母吵完架高雄27歲男墜樓  27歲沒朋友沒謀生能力？？？？？
民進黨發言人爆3年前被性騷擾謝佩芬  總統被性騷擾？有無可能？
魔力寶貝為何會落沒落  魔力M也蠻好玩但也倒了
無人機倒戈殺死主人美軍專家講述驚人實驗  神作POI有這段前幾版machine啟動後就是想
職場會性騷擾都那些人啊  喜歡占女人便宜的人啊
民進黨發言人爆3年前被性騷擾謝佩芬  3年前大會剛好參加的都是DPP的人
吃案就開除划算吧  選前開除，選後回任
烏克蘭能全面解放俄羅斯嗎  都要打到海參崴了你不知道嗎
蟑螂交配為什麼要那麼久啊  公蟑螂怕母蟑螂沒吃飽跑去找健身蟑螂
中國地方財政惡化發債達15兆超過去年同  不用替發達國家擔心，他們太平盛世
跟朋友要回錢第一句怎麼開口才專業的八卦  大哥，還我錢，6000就好
黃仁勳刺青bad吧  先叫Dad吧
被丹楓大抽中紫微斗數諮詢過的覺得準嗎  推文的那個嗎?還寫了神仙等級表
獨家民進黨女工讀爆被性騷電視圈很  是啊，只要有中共，就算被民主注入也很幸福
雄性動物是不是犯罪源頭  台派才是犯罪源頭
驚東寶灰姑娘白山乃愛的目標是長澤雅美  無照密醫抓起來
KFC蛋撻什麼時候漲到一盒240的呀  我都吃純蛋撻
零食機台保夾沒力怎麼辦  保夾沒力不能足額保證出貨可以告台主~
總統蔡英文道歉  嘔嘔嘔嘔
黨工轉記者陳右豪涉綠營性騷擾聯合報  民進黨黨工跑去聯合報當記者？這內鬼吧？
相澤南宣佈引退  專程來台灣宣布引退哭哭想也知道談好這邊
如果去異世界都是同志要當1還0  可以都不要嗎
男性如果被韓星性騷擾可以通報嗎  哎唷你臉紅啦
是時候該成立性騷擾辦公室了吧  丁丁的辦公室不就是？
我主管問我大王具足蟲拉麵  把你家的貓貼在拉麵上比較可口
國境解封國旅價格還是降不下來的八卦  明明5、6千的還一堆你只挑五顆星的吧
當年的我猜我猜我猜猜猜很紅嗎  麻辣鮮師跟我猜太多明星了
興富發30處建案勞檢再遭罰252萬停工15次  可以這樣一直罰一直停工卻又能一直蓋房
該讓誰主持性騷擾國家隊  要先成立性平專案辦公室
民進黨發言人爆3年前被性騷擾謝佩芬  3年前黨主席是誰???
馬斯克公然挑戰WhatisWoman議題  笑死，挑戰馬斯克
D卡熱門誰說台灣低薪的  我認識一個領9萬的不知算不算高薪
中國六四34年被禁舞台劇5月35日踮臺演出  中國64應該演給對岸看啊，台灣人看又不
台男是不是世界上最好的男人啊  好的台男是最低賤的
人選之人編劇也爆遭性騷  起爆一爆,不然連爆一個禮拜就好笑囉
日本人哪時才會講阿姨洗鐵路  樓下什麼時候會爽？
什麼環境會養出鄭捷這種人  鄭捷從小生活在台北
習近平國家統一永遠是中國核心利益中  不用怕啊我也笑的很愉快
大王具足蟲米糕可取代紅蟳米糕嗎  鐵盆大王蟲米糕
小孩怕冷洗澡開電暖爐卻說不用  開什麼電暖爐！開空調！
為啥MG這牌子的車子會突然這麼紅  沒有賣不掉的東西只有賣不出去的價
企鵝妹的腋下會臭嗎  你想聞企鵝妹下面縫隙的味道嗎
裝潢費抓多少比較好  萬可以用到很好了，找設計師大概抓
老人才會傳line還用一堆標點符號  還有錯字還被指正的
小櫻我終於追上他們兩個了  沒看到另外兩個一臉問號的樣子嗎
以前831軍中樂園的性服務  原來KMT也曾爆出這麼可怕的性醜聞...
現在世界多少人腦霧小屌肺纖維化  我承認我又腦霧又小屌
民進黨性騷案擴大台北市勞動局要求5天0  只能拿就業安定基金幾個億捐給民進黨，保
有沒有佛教東方淨土的八卦  有美女嗎
醜同事開黃腔女同事哈哈笑  你會管耍猴戲的猴子醜不醜??
哪個市區對腳踏車最友善  哪個城市最友善不好說，死亡率應該還
有沒有賣場賣的豆漿哪一家最頂的八卦  5樓都喝巨巨男友的現打豆漿
結束忙碌的一天懶懶地躺在沙發上  憲哥當年有想到最大的困擾是他兒子嗎
喪禮花了一百萬算多嗎  所以重點不在喪禮花多少人家肯花願意花就
德川幕府為什麼能統治日本260年  1684年日本德川幕府將軍從中國輸入蕃薯，
企鵝妹到民主聖地的水有看見台灣  世界看到台灣了
為什麼在家自慰神明會跑掉啊  我會看到狗勃起我就跑掉了
有一千萬隻暴龍可以打贏蒙古帝國嗎  你沒說有沒有人類帶領一千萬隻暴龍
車禍修車完交車該怎麼驗車的卦  直接換車
習近平國家統一永遠是中國核心利益中  八卦死忠是不是還以為馬1九是總統?
民進黨性騷案擴大台北市勞動局要求5天0  哦哦原來是台北市跟新北市政府的錯
習近平國家統一永遠是中國核心利益中  要崩潰去政黑好嗎
如果拍2023情義西西里島主戰場會在哪  2023當然是網路空戰
64可以讓人民忘掉性騷吧  64習近平維尼坦克
請問性騷擾要怎麼翻譯  你標題打錯了要改成性騷擾英文
民進黨性騷案擴大台北市勞動局要求5天0  先把話說滿看可不可以穩一下後面再說
如果去異世界都是同志要當1還0  這兩個年輕港女被砍死是不是有惹毛人家
大小姐留了一個爛攤子給我該怎辦  穩，反正不會更糟了
企鵝妹環島到台南白目老人單手騎車猛拍  台南騎車需要戴安全帽嗎這新聞有錯吧
大家還記得三級警戒時的狀況嗎  三級很爽欸路上都沒人在家爽追劇
真的不是工讀生萌黑熊熱舞比愛心求  知道了吧
有吃案不代表有性騷擾  有雷同不代表有抄襲既然沒抄襲雷同也
民進黨性騷事件連環爆蔡英文不捨痛心  編500E防性騷預算成立防性騷委員會
現在還在戴口罩得人是不是1450  一直在情勒別人不要戴口罩都是什麼人
求台北健身吃的健康又省錢方法認真  五樓三餐吃洨天然營養健康零負擔
單純發出邀約也算是性騷擾嗎  碰到手也性騷擾店員找錢摸到手也性騷
民進黨性騷事件連環爆蔡英文不捨痛心  不捨被抓到少了很多得力助手
企鵝妹一直吃超商是代表台灣沒啥好吃的  一直吃超商只代表她喜歡吃超商不能代表
性騷擾會不會傳染  性騷擾比例會高
老婆女友被鐵T搶走的感覺  這感覺要問董至成才知道
小智算騷擾大小姐嗎  小智憑實力跟別人相處融洽
什麼環境會養出鄭捷這種人  笑死什麼鬼論點唸理工的那麼多就他一
老師說他準備要下廚房何意  你要被老師內射了
大小姐留了一個爛攤子給我該怎辦  一個加強版的要上來，台灣人到底怎麼了
民進黨女黨工爆性騷吃案陳其邁發聲嚴  查查那些跟女下屬偷情的都是怎麼開始的
沒人發現律師這幾年在台灣地位變低了嗎  因為律師都在幫黑道辯護
女生為台灣價值奉獻肉體在那叫什麼  功在黨國，玩一個台灣女人怎麼了
台灣一堆有攻擊性的野狗沒人要管  吧，被害摔死的勉強能拆器官，但也要
日本偶像山田涼介PR有多少  老了就像個小老頭有在運動也一樣
驚傑尼斯藝人對歌手あいみょん告白的卦  2015年出的團...那個後門失守的機率...
獨家薛朝輝老婆400字聲明相信老公清白  那次政治人物老婆說不相信老公?
如果有吹哨者保護法就多一個管道保護被害人  台灣一檢舉對方馬上來電關切超有效率的
疑見警車急剎特斯拉空中轉圈失控  怎麼沒死
性騷擾要怎麼蒐證啦  蒐證到時候又要被人酸怎麼會有錄音/影
台南人新營是新營台南是台南  不是不過也是在溪北就是了
音樂祭是不是覺青培養皿  是阿台派最愛的元素：毒品濫交性侵
喪屍末日了要躲IKEA還是Costco  結果抱完要去IKEA途中就掛了
拉麵店開50K月休15天找嘸人過來人點1  看的出來你很羨慕嘻嘻
亞洲各國貨幣也貶太兇了吧  是台幣太強所以出口完蛋了
性騷案件每天兩點召開指揮中心記者會如何  車禍案件才需要吧
肥宅去大草原大喊有沒有搞頭  去華山大草原喊啊，順便緬懷一下野青眾姦
性騷擾可以有什麼其他稱呼在線等  肉體碰瓷
乞丐這個職業有沒有比較好聽帥氣的講法  乞丐中的霸主咧
台南人新營是新營台南是台南  其實只有中西區才是老台南認定的台南
鄉民們都是如何壓抑性騷擾別人的衝動  想想犯法你要為自己的行為負責不是
流浪犬追車事故多嘉縣議員建議將犬掛  其實是沒錯開放吃狗對於認真愛狗當寵
蔡沐霖要告了  水桶了
創世神要準備同步這波協同者名單了嗎  人工智慧要來了嗎
喪屍末日了要躲IKEA還是Costco  內湖本來就一堆喪屍了，你在想什麼
拉麵店開50K月休15天找嘸人過來人點1  月休10天，兩頭班，5萬，不太信請不到人
為啥台派覺青側翼這麼多對女性不尊重  塔綠班的新娘？
徐巧芯演女團團長大跳性感舞端地獄梗證  一邊演媽祖一邊扮籮莉兜幾???
今天周五華航要正名了嗎  Kmt要反攻大陸了嗎
提早打卡時間到下車慢慢早進辦公室  上班時間還沒到又乾你屁事
台灣棒球最偉大的60大時刻  屁股接球
武力犯台陸死14億人小菜一碟中共學者  別傻了..武力犯台對岸能死1400人就不錯了,
台灣是不是追上大陸了  差那麼多，大陸的都流出影片了，台灣的
灰姑娘女優相澤南桃園爆哭3分鐘妝全花  南桃園
超商請吃布丁大家怎麼都不以為意  我都ㄘ女生的布丁誰跟你統一布丁笑死
世界上的口號愛國騙子團體有哪些阿  妳的奶頭成就了保台大業國家感謝你
Sony親女兒milet  >/////<酒窩棒棒
民進黨性騷連環爆人選之人造浪者  月曆女性騷者很快就下台，壓案黨很不爽
怎麼一口氣爆這麼多性騷案  幾乎每年都在選舉,你要怎麼挑時間？
古柯鹼對頭腦有好處  歐陽靖的小說有些而我的印象是
女同事故意跟我身體接觸算性騷擾嗎  女同事把陰唇撥開給我看算嗎？
永遠戴口罩遮醜可不可  我就醜啊，所以一直戴著
還記得希望Online的連招怎麼按嗎  我還記得自從複製bug出現之後整個遊戲就
100年後還會流傳的文學作品  演員的自我修養
44年來結構最完整台美21世紀貿易倡議  倡議就是提議口嗨的假東西
企鵝傲傲傲傲  還在傲傲傲傲
總統蔡英文今年水情最辛苦階段已過  什麼時候地層下陷?
哭了IC晶片太缺赴日自由行必備西瓜卡將暫停販售  不是有app了嗎??卡片已經不是必備的了
搞政治的為什麼噁男一堆  你搞錯了，台灣一堆噁男，只是政治人物
汐止情侶吵架開瓦斯僵持警消緊急疏  白癡吵架開瓦斯真的智障
為啥台派覺青側翼這麼多對女性不尊重  你錯ㄌ男女關係對方沒有不快就不算騷擾
第4波疫情來襲XBB超強才登百岳壯男返  鄉民:不就小感冒嗎
企鵝妹為什麼不走回台北再走回台南  隨便啦他要休一個月再繼續走也沒關係
民進黨性騷第4案工讀生被約泡湯小酌  張的臉書自介寫曾是民進黨中國事務部
企業缺工新鮮人半年就離職專家曝原  現在是缺工不是給你公司慢慢挑人的年
太熱了吧  真的熱剛從WG洗澡回來身體一直冒汗
2023和19801990很像  更像
很不會聊天的人去酒店是不是很爽啊  自介?
淡水警破柬埔寨淺水灣版救3豬仔玩  綁架就綁架在那邊妨害個3小自由？
一堆人不戴口罩  去年戴緊緊卻還搞到一半以上人確診時就沒
起底綠大老咬傷女祕書奶頭怪她長  奶頭有兩個台灣只有一個
以後是不是沒有性侵跟性騷擾了  不是性騷擾是萌芽戀情
快訊香港商場驚傳砍人12吋魚生刀  香港鄭捷
日本的豪雨特報都長這樣的嗎  看不懂你的意思，有甚麼問題嗎？
暗網到底要怎麼逛  不知道有啥能逛的話暗網也不知道要幹嘛
急饗食天堂吃什麼才內行  我去響石天堂都吃干貝龍蝦鵝肝魚子醬
湯川學會怎麼分析黨部是淫窟的事件  差低他的麻吉石神只是工具人還沒沒吃到
D卡熱門誰說台灣低薪的  的事實的人是我這輩子最厭惡的人，基本上
綠色我幹你娘老機掰  台男，我幹你娘老雞掰
現在人選之人是出到第幾季了啦  沒有完結篇啦兩黨有了等第三黨
最偉大的百大台灣人要怎麼選  最有影響力的肯定是ee把台灣搞成這樣
很不會聊天的人去酒店是不是很爽啊  八卦是你去酒店為了聊天玩遊戲？
有沒有佛教團體真如苑的八卦  就真言宗的分支空海帶回去的佛教的延伸
大家來說說真的性騷擾跟換臉那個嚴重  換臉惹到當今聖上你說呢
局裡看得到你的LINE蘇宏達爆料查陳明通案遭威脅  社科院的看得到你的Line加密內容不意外
大奶眼鏡妹o_o  約00:51:50～00:54:01處。
是不是要男女分別辦公比較好  直在哪啊明明是豬哥
企鵝妹竟然覺得高鐵商務艙很貴  謝謝你覺得商務艙貴
民進黨性騷連環爆人選之人造浪者  人選之人，造狼者
蘇姿丰在台灣長大會變成什麼  他不是創業耶他是在組織內往上爬
驚從台南搭高鐵北上要先往南  台中也是啊要北上先往南一大段
喪屍末日了要躲IKEA還是Costco  豪我要去一樓家裡
投名狀不站隊會死  我TM會讓他連回來ㄇ
一人想一個救國口號如何  一人一尻槍救救塔綠班
直接告白算性騷擾嗎  =.=我就是直接告白的
黃光芹在講她被性騷擾的經驗  三四十歲的人講這種跟十五歲屁孩講的一
臉書就能買改造槍枝的卦  買槍買毒收到假貨詐騙能告詐欺ㄇ？
民進黨性騷吃案疑雲延燒立院國民黨團質  摸奶廷接任民進黨婦女部主任才能救綠營選情
當徐乃麟兒子有多爽  吳宗憲兒子才爽+1，做什麼事都不行還有
為什麼女性不覺得哥布林該死  台灣人還選出哥布林當總統
為啥高官性騷擾沒事小老百姓有事  別說性騷擾了你看人家收大麻有出事嗎
什麼環境會養出鄭捷這種人  這種聊天情境，他想說什麼就說，實際
黃光芹在講她被性騷擾的經驗  高雄市長就在睡了，全台灣都欠他的所以
性騷跟酒駕哪個最糟糕  性騷嚴重阿因為幾乎每個女性都被性騷過
星城打麻將怎麼會有八千人在看  我只看伯夷打麻將
急饗食天堂吃什麼才內行  騙三小美國沒有饗食
企鵝忍痛指數是不是很高  都是為了錢
為啥台派覺青側翼這麼多對女性不尊重  定要讓民進黨贏，只要黨能贏，什麼我都可
企鵝妹72休息兩天閒聊集中文  達美樂那天茶茶都說會開了
為啥台派覺青側翼這麼多對女性不尊重  有了台派buff蠢台女隨地可以找到來中
拖著拖著天氣冷雞又不生蛋了對吧  母雞就不努力啊
性騷擾團體該喊什麼口號重拾大家的信任  找老共求援啊抗中保台喊起來
環島也有人烙跑烙跑是台灣的文化嗎  你有點雲她其實是4極點過程全用走
王丹回應性騷爭議  王丹是主張台灣可以跟民主化後中國統一
什麼環境會養出鄭捷這種人  那什麼樣的父母會生出反社會人格的人
一說到RO你就想到什麼  就知道一定有人說~公‥我要去當兵
大老摸奶真的是第一次嗎  第一次被公審
某顏色今天爆了性騷7案  那代表KMT至少藏了70個性騷擾案你信不信
等嘸訂單製造業逾7500人放無薪假  升級要用的人就減少
現在無薪假算不算類周休三日  常放無薪假，後來老闆把公司收了
覺青這名詞是為什麼臭掉的  有趣XD
起底綠大老咬傷女祕書奶頭怪她長  咬傷女祕書奶頭，唉額
點出高教競爭力下降原因前台大校長陳維  反對高教就該齊頭式平等菁英就該下鄉勞作
防疫旅館還有存在嗎  指揮中心都沒了怎麼還會有防疫旅館
非凡公子為什麼那麼多人討厭  被閹掉時超娘的。掉了一堆粉
獨家薛朝輝老婆400字聲明相信老公清白  輝哥，總統跟你戰清白大家說好哺好
暗黑4怎麼貴成這樣  哈
Jokic球商有比豪鬼高嗎  豪鬼球商比一直掉球的JB高吧
晚上一個人漫步在街頭要聽什麼歌  這一篇文章值967Ptt幣
現在是不是直接說別人醜反而沒事  說漂亮女人害怕說醜八怪女人震怒
騙神光頭仔會不會太噁心  他有沒有騙神我不知道，但你這篇騙
今晚三立政論會怎麼談性騷擾時事  3大概就說標題然後檢討藍白性騷擾事件
環島也有人烙跑烙跑是台灣的文化嗎  造謠是台灣的文化
暗黑四是不是在分階級制度  沒錢是你的問題
拳上75小巨蛋孫生VS艾理  最好小巨蛋可以租給他們打拳擊，快笑
為什麼要0N口罩解禁害我確診  我現在來北京也沒在戴口罩的
事務官不用有公務員資格  為官之路有十條九條沒人知
國外的公務員收入多是中上等級的嗎  不過你的國外是哪
要怎麼邊咬奶頭邊當女權運動者啊  党證
為啥台派覺青側翼這麼多對女性不尊重  以前有個摸奶的比較不裝其他人比較會
等嘸訂單製造業逾7500人放無薪假  前陣子不是傳產才在靠北找不到人嗎
有沒有性騷道歉變成加分項的八卦  這不是以前的小馬在做的，跟dpp側翼幹的
爬珠穆朗瑪要準備什麼  團費要6-7萬美金還10幾年前的價錢
沒人發現台灣這代年輕人未來已被榨乾了  你爽就好啊但別拖人下水
綠營還藏淫狼基進黨男志工控遭性侵加  不愧是支持同婚的政黨，連男男性侵都有
FB留言又爆蔡沐霖的性騷案  中共的信徒還是不少，台灣都有
軟水怎麼能這麼噁  軟水才會甜啊
企鵝妹搭上一名男子車揚長而去  忠的74團會跟著走一次
為何高雄彌陀梓官北部沒有海景房  住那是要跟鐵鏽作伴？
肉粽有漲價嗎  各大賣場都有包裝好的，去參考一下吧.
企鵝妹環島結束了大家可以好好上班了  爽少了8774公關洗文惹
我是不是要掰了  是，準備好和解金和辭職信吧
中國這下還封得住人選之人嗎  這在台灣有紅嗎還紅到中國去?==
流浪犬追車事故多嘉縣議員建議將犬掛  87掛棍子在野外被卡死曬死餓死渴死，
現在的涓滴效應是不是蠻有問題的  障行業了該當雞該去援交賺辛苦錢的就
不帥沒錢性騷擾  不是喔，是柯粉=性騷擾
持步槍狂轟水產店25發台南槍手遭警轟3  台灣的鐵門很可憐三不五時被轟招誰惹誰
為啥台派覺青側翼這麼多對女性不尊重  贏的，文革期間被共黨幹部性迫害的女性也
大小姐留了一個爛攤子給我該怎辦  你覺得朱不覺得馬留一個爛攤子給他嗎
某組織是不是要正名一下  原本的名字就已經夠髒了找不到更噁心的
發現哥布林聚落該給什麼代號  EE聚落發現
怎樣的組織可以監看別人的LINE  讓我看看你的賴
吸菸人口低於5  日本肯定是落後國家吸菸人口才這麼高
法律之前人人平等那法律之後呢  說法律之前人人平等的根本是不懂法律
外遇摟人妻嫖妓性騷擾什麼色團體  樓下龜頭什麼色
爆與兒爭愛林靖恩李坤城抓狂撞牆  三立爆這三小？不用撤照？
普妹以上必被性騷擾過  普妹以下也能幻想被性騷信不信？沾到邊就
民進黨最新聲明對性騷零容忍三大改革  教授作帳假發票，職業學生看報紙才知道。
為啥台派覺青側翼這麼多對女性不尊重  說個笑話鄉民笑台南不尊重女性
母獅溫柔舔舐寶寶毛髮超寵溺下  健康狀況不好也會吃了
移置蔣中正銅像七美國中急尋原創作者陳英文老師  明年當選後會改立EE銅像嗎嘻嘻
黃仁勳算是人稱一流刀一流嗎  一流也
曾獲蔡英文肯定厭世工程師性騷少女  所以他真的當過工程師喔？我以為他是畫畫
相澤南要在台灣香港發展認真嗎  在台灣應該可以繼續用相澤南吧
女老闆一直提出不合理要求  我公司美女老闆都要求我掏出肉棒給她含
剛收到公司業務妹子的訊息算騷擾嗎  是你的工作啊工具人哪裡騷擾
蔡沐霖要告了  為什麼要無奈
組圖NBA總決賽首戰掘金主場擊敗熱火  金塊
D卡啥時超越PTT的啊  這裡年輕人很多啊,都會問沒腦的問題
你媽媽咧要左轉右轉方向燈可以早點打嗎  沒有打左轉燈，結果右轉就很好了
小男生會喜歡HelloKitty  以前那年代喜歡可愛的東西應該會不
遊艇駕照現在是有錢人最愛炫的玩意之一嗎  現在不知道是怎麼一回事一堆在推駕照報考
性騷擾的人當下知道自己正在性騷擾嗎  哪個說我性騷擾的就提告
大家都怎麼認識三國歷史啊  三國無雙啊，每一代都有的虎牢關，老熟了
民進黨最新聲明對性騷零容忍三大改革  三大改革不必去查明天忘記抗中保台
疑遭下毒5億高中生新證據曝光右手發現  為什麼還要仰賴針孔當證據?
男子開車亂丟垃圾遭警攔查起獲毒品及刀  花蓮刀王喔各種刀
把老黃拍成電影片名要叫什麼  Facebook是好點子，老黃有什麼好點子？又
